Depth,AC,DEN,CN,LLD,GR,Pp
3094.625,81.306,2.548,23.788,3.007,83.271,31.60361922
3094.75,82.399,2.54,23.986,2.95,83.323,32.45324422
3094.875,83.516,2.533,24.272,2.868,84.088,33.29293922
3095,83.091,2.531,24.515,2.827,84.974,32.98073526
3095.125,82.625,2.533,24.597,2.758,85.881,32.63346987
3095.25,82.444,2.535,24.585,2.712,86.703,32.49901139
3095.375,82.511,2.538,24.382,2.697,86.702,32.552813
3095.5,82.63,2.54,24.093,2.678,86.346,32.64588447
3095.625,82.915,2.539,23.959,2.673,86.005,32.86345973
3095.75,83.521,2.539,23.955,2.665,85.958,33.31677622
3095.875,84.165,2.538,24.213,2.652,86.399,33.7894709
3096,84.788,2.538,24.576,2.643,86.712,34.23837462
3096.125,85.195,2.538,24.742,2.619,86.639,34.52824296
3096.25,84.902,2.537,24.793,2.592,85.678,34.32487057
3096.375,84.359,2.535,24.747,2.581,84.332,33.94076905
3096.5,83.849,2.532,24.796,2.57,83.523,33.57446924
3096.625,83.686,2.531,24.987,2.573,82.993,33.45816905
3096.75,84.113,2.529,25.26,2.577,82.939,33.77203575
3096.875,84.52,2.528,25.603,2.589,83.658,34.06768653
3097,84.905,2.527,25.746,2.603,84.564,34.3442882
3097.125,85.395,2.528,25.712,2.608,85.579,34.69108653
3097.25,85.689,2.531,25.602,2.61,86.836,34.89796294
3097.375,85.672,2.536,25.308,2.608,87.501,34.88909987
3097.5,85.431,2.54,24.932,2.604,87.59,34.72481215
3097.625,84.598,2.542,24.687,2.605,87.472,34.1406877
3097.75,83.602,2.541,24.523,2.608,87.112,33.4224467
3097.875,83.217,2.538,24.543,2.615,86.809,33.14078638
3098,83.145,2.535,24.744,2.625,86.858,33.09008745
3098.125,83.38,2.533,24.822,2.631,87.053,33.26741586
3098.25,83.714,2.531,24.734,2.647,86.838,33.51613205
3098.375,83.893,2.53,24.297,2.668,85.567,33.64975756
3098.5,83.987,2.529,23.786,2.677,84.081,33.72101955
3098.625,83.792,2.529,23.588,2.687,82.567,33.58183429
3098.75,83.209,2.529,23.594,2.689,81.366,33.15499933
3098.875,82.648,2.532,23.954,2.688,81.411,32.73721088
3099,81.953,2.535,24.433,2.685,82.099,32.20893551
3099.125,80.301,2.536,24.682,2.683,83.061,30.90294954
3099.25,78.277,2.537,24.845,2.685,84.984,29.20752171
3099.375,77.2,2.536,25.03,2.7,87.263,28.26111912
3099.625,77.517,2.533,25.363,2.751,89.875,28.5496842
3099.75,78.931,2.533,25.356,2.795,90.801,29.77967899
3099.875,79.63,2.538,24.902,2.816,90.555,30.36911121
3100,79.877,2.544,24.035,2.856,89.445,30.09280523
3100.125,79.627,2.547,23.326,2.898,87.698,29.74795589
3100.25,79.464,2.548,22.654,2.924,84.716,29.52243879
3100.375,79.607,2.548,21.955,2.983,82.368,29.72785601
3100.5,79.895,2.545,21.704,3.012,81.684,30.13368274
3100.625,80.417,2.542,21.821,3.058,81.618,30.85319527
3100.75,80.94,2.539,22.051,3.081,81.938,31.55792814
3100.875,81.215,2.536,22.341,3.083,82.205,31.92402575
3101,81.396,2.535,22.409,3.071,82.194,32.16398798
3101.125,81.471,2.535,22.346,3.056,82,32.2651817
3101.25,81.385,2.534,22.318,3.052,81.627,32.15756332
3101.375,81.17,2.53,22.524,3.051,81.827,31.88081689
3101.5,80.813,2.527,22.924,3.051,82.659,31.41291827
