Depth,AC,nAC,Pv,DEN,CN,LLD,GR
2387,94.191,93.10179831,54.97261,2.265,36.198,2.553,59.383
2387.125,95.15,93.09947661,54.97548875,2.278,34.959,2.57,59.14
2387.25,94.889,93.09715497,54.9783675,2.3,33.876,2.583,59.268
2387.375,93.166,93.09483339,54.98124625,2.319,33.052,2.587,59.403
2387.5,91.205,93.09251187,54.984125,2.326,32.227,2.586,58.946
2387.625,89.273,93.0901904,54.98700375,2.328,31.398,2.587,58.246
2387.75,87.571,93.087869,54.9898825,2.325,30.57,2.593,57.216
2387.875,86.714,93.08554765,54.99276125,2.32,29.816,2.604,56.637
2388,87.078,93.08322635,54.99564,2.317,29.126,2.625,56.966
2388.125,87.648,93.08090512,54.99851875,2.314,28.71,2.646,57.558
2388.25,88.654,93.07858394,55.0013975,2.311,28.497,2.665,58.536
2388.375,89.564,93.07626283,55.00427625,2.311,28.446,2.672,59.137
2388.5,89.545,93.07394177,55.007155,2.311,28.411,2.661,59.081
2388.625,89.33,93.07162076,55.01003375,2.31,28.387,2.645,58.959
2388.75,88.688,93.06929982,55.0129125,2.299,28.275,2.618,58.918
2388.875,88.044,93.06697893,55.01579125,2.281,27.935,2.595,59.427
2389,88.256,93.0646581,55.01867,2.271,27.543,2.574,61.023
2389.125,88.872,93.06233733,55.02154875,2.266,27.067,2.555,62.801
2389.25,90.59,93.06001662,55.0244275,2.275,26.753,2.539,64.518
2389.375,93.018,93.05769596,55.02730625,2.295,27.297,2.529,65.196
2389.5,94.349,93.05537537,55.030185,2.309,28.014,2.517,64.419
2389.625,95.371,93.05305483,55.03306375,2.32,29.041,2.502,63.073
2389.75,95.554,93.05073435,55.0359425,2.326,29.802,2.486,60.66
2389.875,94.987,93.04841392,55.03882125,2.321,29.277,2.478,58.476
2390,94.455,93.04609356,55.0417,2.313,28.601,2.483,56.594
2390.125,93.901,93.04377325,55.04457875,2.303,27.591,2.493,54.941
2390.25,93.202,93.041453,55.0474575,2.286,26.715,2.509,54.076
2390.375,92.281,93.03913281,55.05033625,2.27,26.327,2.518,53.965
2390.5,91.409,93.03681267,55.053215,2.261,26.017,2.499,54.42
2390.625,90.642,93.03449259,55.05609375,2.254,25.996,2.464,55.121
2390.75,90.489,93.03217258,55.0589725,2.245,26.211,2.4,56.303
2390.875,91.822,93.02985261,55.06185125,2.237,27.07,2.341,57.428
2391,95.075,93.02753271,55.06473,2.233,28.11,2.282,58.927
2392,96.049,93.00897557,55.08776,2.225,36.025,2.098,59.573
2392.125,93.718,93.00665619,55.09063875,2.227,33.47,2.123,56.731
2392.25,92.616,93.00433686,55.0935175,2.229,31.147,2.168,54.114
2392.375,92.62,93.0020176,55.09639625,2.232,30.203,2.21,52.913
2392.5,93.44,92.99969839,55.099275,2.236,29.572,2.256,53.457
2392.625,94.427,92.99737924,55.10215375,2.242,29.935,2.302,54.575
2392.75,95.621,92.99506014,55.1050325,2.254,30.837,2.336,56.742
2392.875,96.087,92.99274111,55.10791125,2.267,31.822,2.345,58.632
2393,94.818,92.99042213,55.11079,2.272,32.665,2.329,60.157
2393.125,93.384,92.98810321,55.11366875,2.273,33.023,2.307,61.413
2393.25,92.021,92.98578435,55.1165475,2.267,33.154,2.273,61.798
2393.375,92.251,92.98346554,55.11942625,2.256,33.896,2.247,61.433
2393.5,94.442,92.9811468,55.122305,2.252,34.857,2.235,60.975
2393.625,96.828,92.97882811,55.12518375,2.254,36.212,2.228,60.754
2394.25,95.612,92.96723553,55.1395775,2.29,32.948,2.385,59.899
2394.375,92.229,92.96491719,55.14245625,2.277,30.878,2.433,57.934
2394.5,90.129,92.96259891,55.145335,2.267,29.02,2.506,55.76
2394.625,88.141,92.96028068,55.14821375,2.256,27.991,2.593,53.789
2394.75,86.497,92.95796252,55.1510925,2.242,27.505,2.698,52.745
2394.875,85.517,92.95564441,55.15397125,2.234,27.603,2.778,52.925
2395,85.195,92.95332635,55.15685,2.236,27.831,2.82,54.154
2395.125,84.781,92.95100836,55.15972875,2.243,28.488,2.84,55.559
2395.25,84.114,92.94869042,55.1626075,2.261,29.589,2.805,57.056
2395.5,84.122,92.94405472,55.168365,2.281,31.694,2.654,58.599
2395.625,85.742,92.94173696,55.17124375,2.284,32.594,2.555,59.334
2395.75,89.829,92.93941925,55.1741225,2.288,33.901,2.449,60.267
2395.875,95.303,92.9371016,55.17700125,2.293,36.781,2.368,61.228
2396,97.702,92.93478401,55.17988,2.293,39.849,2.269,62.554
2396.375,97.721,92.92783159,55.18851625,2.24,43.693,1.942,65.366
2397.5,95.365,92.90697744,55.214425,2.3,28.176,2.164,66.123
2397.625,90.186,92.9046606,55.21730375,2.307,27.808,2.234,63.533
2397.75,86.309,92.90234382,55.2201825,2.314,28.612,2.296,60
2397.875,84.482,92.9000271,55.22306125,2.313,29.503,2.317,56.981
2398,84.676,92.89771043,55.22594,2.305,29.901,2.256,53.434
2398.125,85.064,92.89539382,55.22881875,2.291,28.812,2.16,49.7
2398.25,85.944,92.89307727,55.2316975,2.266,27.206,1.999,46.241
2398.375,87.094,92.89076078,55.23457625,2.245,25.938,1.851,44.432
2398.5,87.865,92.88844435,55.237455,2.239,24.875,1.709,43.882
2398.625,88.629,92.88612797,55.24033375,2.24,24.514,1.569,43.533
2398.75,89.361,92.88381165,55.2432125,2.249,24.494,1.451,43.563
2398.875,89.903,92.88149539,55.24609125,2.262,24.488,1.385,43.593
2399,90.132,92.87917919,55.24897,2.272,24.44,1.341,43.728
2399.125,90.337,92.87686304,55.25184875,2.284,24.254,1.3,43.997
2399.25,90.472,92.87454695,55.2547275,2.304,24.034,1.272,44.521
2399.375,90.512,92.87223092,55.25760625,2.322,24.13,1.261,44.949
2399.5,90.591,92.86991495,55.260485,2.328,24.285,1.267,44.942
2399.625,90.793,92.86759904,55.26336375,2.33,24.547,1.279,44.698
2399.75,91.353,92.86528318,55.2662425,2.327,24.753,1.304,43.941
2399.875,92.172,92.86296738,55.26912125,2.327,24.503,1.326,43.125
2400,92.516,92.86065164,55.272,2.331,24.14,1.343,42.3
2400.125,92.664,92.85833596,55.27487875,2.337,23.547,1.355,41.524
2400.25,92.267,92.85602033,55.2777575,2.346,23.08,1.352,40.977
2400.375,91.441,92.85370476,55.28063625,2.352,23.082,1.339,40.738
2400.5,90.832,92.85138925,55.283515,2.355,23.168,1.325,40.757
2400.625,90.225,92.8490738,55.28639375,2.359,23.571,1.313,40.928
2400.75,89.605,92.8467584,55.2892725,2.369,24.197,1.308,41.468
2400.875,89.06,92.84444307,55.29215125,2.382,25.185,1.311,42.174
2401,89.233,92.84212779,55.29503,2.392,26.269,1.322,43.933
2401.125,90.089,92.83981256,55.29790875,2.402,27.637,1.337,46.51
