Depth,AC,DEN,Ip,Pp
3290.875,87.677,2.529,8791.806289,45.1120508
3291,85.345,2.534,9049.89396,42.7523914
3291.125,85.682,2.539,9032.086086,43.11180058
3291.25,88.145,2.544,8796.995859,45.57170825
3291.375,92.474,2.548,8398.364946,49.35395124
3291.5,101.829,2.549,7629.802905,55.71012017
3291.625,111.476,2.551,6974.997309,60.43586333
3291.75,115.692,2.55,6718.182761,62.08743048
3291.875,116.933,2.549,6644.276637,62.5369167
3292,113.298,2.548,6854.758248,61.18480992
3292.125,106.539,2.549,7292.495706,58.22010428
3292.25,101.529,2.553,7664.355997,55.55892346
3292.375,97.097,2.557,8026.752629,52.78983581
3292.5,94.032,2.557,8288.386932,50.60104719
3292.625,96.362,2.556,8084.813516,52.29352872
3292.75,101.073,2.55,7689.887507,55.30742702
3292.875,106.668,2.543,7266.531668,58.30404993
3293,112.737,2.538,6861.832406,60.98937759
3293.125,113.781,2.534,6788.156195,61.40459214
3293.25,111.216,2.529,6931.009927,60.37193154
3293.375,107.461,2.526,7164.690446,58.69887845
3293.5,103.173,2.524,7456.555494,56.51895273
3293.625,102.635,2.524,7495.641838,56.22573283
3293.75,105.105,2.525,7322.391894,57.54838901
3293.875,109.106,2.53,7067.842282,59.47212566
3294,115.018,2.536,6720.450712,61.89962802
3294.125,117.867,2.543,6576.110362,62.92298995
3294.25,117.092,2.551,6640.460493,62.65751798
3294.375,114.776,2.554,6782.421412,61.81914598
3294.5,109.905,2.55,7071.925754,59.84401679
3294.625,104.977,2.543,7383.583071,57.50738296
3294.75,102.327,2.532,7542.032895,56.08543585
3294.875,100.339,2.521,7658.04722,54.93172339
3295,98.502,2.515,7782.298837,53.79225504
3295.125,97.662,2.509,7830.509308,53.24790626
3295.25,97.467,2.498,7811.776294,53.12196387
3295.375,97.11,2.488,7809.107198,52.88601825
3295.5,96.034,2.483,7880.733907,52.14859855
3295.625,94.793,2.48,7974.259703,51.26067731
3295.75,94.095,2.478,8026.934481,50.74469172
3295.875,93.557,2.479,8076.351315,50.33854594
3296,93.081,2.481,8124.201502,49.9727094
3296.125,92.845,2.486,8161.266627,49.7907445
3296.25,92.799,2.496,8198.157308,49.7580792
3296.375,92.853,2.505,8222.933023,49.80450142
3296.5,93.187,2.51,8209.814674,50.07042008
3296.625,93.659,2.513,8178.20391,50.43909668
3296.75,93.875,2.516,8169.127031,50.60767625
3296.875,93.84,2.52,8185.16624,50.58474947
3297,93.105,2.522,8256.32995,50.0212046
3297.125,91.768,2.525,8386.583559,48.95194976
3297.25,90.763,2.532,8502.953847,48.11242287
3297.375,89.995,2.541,8605.998111,47.44941885
3297.5,89.758,2.549,8655.888055,47.24339547
