epoch,train_total,train_data,train_physics,val_total,val_data,val_physics,lr
1,480.71450588816685,485.5499498390016,437.1956032457806,20.244098277319047,19.648253645215714,25.606703258696058,0.001
2,17.826808841455552,17.431293592566536,21.386450097674416,1.3035487149442946,0.9170783119542258,4.781782462483361,0.001
3,12.924303750197092,12.636532170431954,15.514251263368697,1.0710829496383667,0.6194440992105574,5.135832678704035,0.001
4,12.482585109415508,12.145397365093231,15.517277828284673,1.0701386800834112,0.8063899782441911,3.443877149195898,0.001
5,12.338829985686711,12.022762131123315,15.18344289348239,1.102810575848534,0.5956163275099936,5.66755884034293,0.001
6,12.32401292097001,11.985507096563067,15.370568269775028,0.9616063918386187,0.4131084205139251,5.898088131632123,0.001
7,12.309250181629544,11.978338908581506,15.287453844433738,0.8966526630378905,0.4907929829898335,4.5493897540228705,0.001
8,11.839399360475086,11.52768071492513,14.644869940621513,0.9729347768284026,0.6821791856061845,3.5897352354867116,0.001
9,11.226521486327762,10.902500609556833,14.142711809703282,0.9366319676240286,0.4363495966508275,5.43917331241426,0.001
10,12.133377679756709,11.873455044769106,14.472683563118888,1.237579406726928,0.6727501579693386,6.3210426398686,0.001
11,12.512263462657021,12.215392246132804,15.184107235499791,0.8783370107412338,0.4573749403158824,4.666995644569397,0.001
12,11.94936874366942,11.615596325624557,14.95332312867755,1.1071344656603677,0.4619978063163303,6.913364206041608,0.001
13,11.499791993981315,11.162372149172283,14.536572762898036,1.0717669086796897,0.687318388904844,4.53180361929394,0.001
14,11.55049529671669,11.251935097433272,14.237538999035245,1.1297134061654408,0.8670135580358052,3.4940121400923956,0.001
15,11.198233465353647,10.87588324717113,14.099387509482247,0.9356043934822083,0.37454963546423686,5.985097215289161,0.001
16,11.69225525856018,11.380496859550476,14.498083276408058,0.8271603158542088,0.4440970789818537,4.27472954704648,0.001
17,11.072970540750594,10.774113189606439,13.762689326490674,0.9030672780105046,0.35263401660181226,5.856966631753104,0.001
18,11.04899974947884,10.736859381198883,13.858265811488742,1.068952624286924,0.7170331996111643,4.236227552096049,0.001
19,11.151065142381759,10.831996951784406,14.022681542805262,0.9819289729708717,0.4842038041069394,5.461455526806059,0.001
20,10.95190649940854,10.63910395474661,13.76713205235345,1.0221863090991974,0.7696133717184975,3.2953428597677323,0.001
21,10.574011498973483,10.223587558383034,13.727829030581884,2.4701909110659646,2.5131474988801137,2.0835820322945002,0.001
22,10.713015116396404,10.403853470370883,13.495472502140771,0.9507272726013547,0.48917460938294727,5.104701399803162,0.001
23,10.910398857934135,10.613689521948496,13.580785217739287,1.0437871572517214,0.7686995814243952,3.5195754936763217,0.001
24,10.466401148410071,10.152450805618649,13.291956932771773,0.8244121542998722,0.34680589998052236,5.122868424370175,0.001
25,10.899402587186723,10.577379595665704,13.797611730439323,0.8404763752505893,0.4751193587269102,4.128689499128432,0.001
26,10.560090354510717,10.239451913606553,13.445838596139636,1.5466239565894717,1.2500398513816653,4.215881239800226,0.001
27,10.656820104235695,10.324350845246087,13.649045751208352,0.9536778657209306,0.659612014180138,3.6002706856954667,0.001
28,10.282839210260482,9.959997818583535,13.18841435511907,1.3979508678118389,1.2272909425553822,2.9338902831077576,0.001
29,10.7219340971538,10.37327317112968,13.859885178861164,0.7558467572643643,0.43822224331753595,3.6144674505506242,0.001
30,10.526854302201953,10.223833319686708,13.254045949095772,1.0587659208547502,0.7519161871501377,3.8204136178607033,0.001
31,9.974530864329566,9.675676399753208,12.66422283365613,1.0592692764032454,0.7181580520811535,4.129270451409476,0.001
32,9.914535427377338,9.57675045302936,12.954602670101892,0.8095323386646452,0.2736501218307586,5.632472242627825,0.001
33,10.310325832594009,9.985189825296402,13.236551951794397,0.9024248066402617,0.27886720427445005,6.5144432328996205,0.001
34,10.636402484916506,10.300321956475576,13.661129528567905,0.9231909470898765,0.6029372981616429,3.805473804473877,0.001
35,10.206196980816978,9.862965839249748,13.29527929850987,1.1388533867540813,0.9567621485108421,2.777674723239172,0.001
36,10.261660695075989,9.930716823963891,13.24015808673132,1.284964877934683,1.165378151904969,2.361245552698771,0.001
37,9.771429568529129,9.462863411222186,12.548526803652445,0.8211597984745389,0.32522625511600856,5.2845616567702525,0.001
38,9.98749401313918,9.666195828290213,12.87917977855319,0.9370147912275224,0.6942791193723679,3.1216359507469904,0.001
39,9.429150910604568,9.107726258890969,12.321975137506213,1.4819975992043812,1.330526122025081,2.845240984644209,0.001
40,9.53216518674578,9.196953979276476,12.549067454678672,0.9248479349272591,0.41202776843593236,5.54022935458592,0.0005
41,9.600491679850078,9.235304572752543,12.887177924315134,0.7263453134468624,0.34035783793245045,4.200232579594567,0.0005
42,9.554193158944448,9.232287811381477,12.451342965875353,0.7241263389587402,0.3636071178175154,3.96879936399914,0.0005
43,9.243832798231216,8.89654801573072,12.369397748084296,0.7423385693913415,0.40326791398582007,3.793974513099307,0.0005
44,9.343857267073222,9.044827994846163,12.0351233510744,0.7081363463685626,0.19783258544547216,5.300870146070208,0.0005
45,9.390658299128214,9.050195613077708,12.454824334099179,0.7390804553315753,0.4238450832310177,3.57619883900597,0.0005
46,9.45375904298964,9.14009289230619,12.276755858035315,0.8600501120090485,0.5749363870847792,3.4260737044470653,0.0005
47,9.865364579927354,9.547294073161625,12.728001217047373,0.7527152001857758,0.3909789859538987,4.008341159139361,0.0005
48,8.975929785342444,8.650076719976607,11.908609170289267,0.7348178398041498,0.213054287646498,5.430689698173886,0.0005
49,9.293171567576271,8.940103528045473,12.470786125887008,0.8584881162359601,0.568935113293784,3.4644651867094494,0.0005
50,9.313159536747705,8.979040287789845,12.320234866369338,0.7295165246441251,0.3801243379712105,3.874046274593898,0.0005
51,9.188756052936826,8.84406515246346,12.29097594249816,0.7398048071634202,0.1973507140009176,5.621891566685268,0.0005
52,9.309191048145294,8.957007867949349,12.478841560227531,0.6889085031691051,0.25421239790462313,4.601173440615336,0.0005
53,9.35961930808567,9.05297234370595,12.119444012641907,0.6723939059745698,0.2506683809416635,4.467923590115139,0.0005
54,9.059962855918068,8.714161564906439,12.172176599502563,0.6887369070734296,0.2846693637825194,4.325344812302363,0.0005
55,8.958597591945104,8.602762571402959,12.16111399446215,0.8028392976238614,0.4540036767721176,3.9423599186397733,0.0005
56,9.033787964355378,8.733130721818833,11.73970515245483,0.6672283418121792,0.2281018839705558,4.619366396041143,0.0005
57,9.208625557876768,8.893260427883693,12.04691325482868,0.8037392766702742,0.22357998930272602,6.025172789891561,0.0005
58,9.754687383061363,9.432806012176332,12.651621784482684,1.067487244095121,0.8624310919216701,2.9129927839551653,0.0005
59,9.157758332434154,8.849836687246958,11.929054992539543,0.8508874632063366,0.560517793964772,3.464214574723017,0.0005
60,9.55049275358518,9.227201759815216,12.46011340334302,0.7813405444224676,0.4989211080329759,3.3231155531747,0.0005
61,9.289089137599582,8.985674679279327,12.019821257818313,0.6564619228953407,0.19176915509714967,4.838696774982271,0.0005
62,9.673228475309553,9.344721521650042,12.629793984549385,0.9180652059259868,0.5700615027121135,4.050098549752009,0.0005
63,8.564680820419674,8.24427772561709,11.448310644853683,0.6655841221412023,0.2907898042883192,4.038732920374189,0.0005
64,9.380783312377476,9.07131534531003,12.165996805542992,0.6719496001799902,0.18357998487495242,5.067276074772789,0.0005
65,8.894272719110761,8.553779349440621,11.958715013095311,0.7610989518108822,0.44092927340950283,3.6426260414577665,0.0005
66,9.066991557677587,8.728637618677956,12.112179094836826,0.7749884227911631,0.43845284588280176,3.8038086607342674,0.0005
67,8.759180332933154,8.449569841225943,11.545676293827238,0.6909092224779583,0.34985801045383724,3.760370169367109,0.0005
68,9.290053353423165,8.969583342472712,12.174284872554598,0.672140705443564,0.22307836317590304,4.713701730682736,0.0005
69,9.077982475360235,8.723649743057432,12.26697924733162,0.6552277455727259,0.1748899903503202,4.978267567498343,0.0005
70,9.245832888852982,8.948466282515298,11.922134146803902,0.7564453922566914,0.21578907345732054,5.622352162996928,0.0005
71,9.041132083960942,8.719249756563277,11.938075037229629,0.708695704738299,0.37073774600312825,3.7503172613325573,0.0005
72,8.451595429863248,8.076641412008376,11.826183604342598,0.7135979369992301,0.1711487259183611,5.595640767188299,0.0005
73,8.752045360349474,8.418014275176185,11.758326783066703,0.6512802619309652,0.259380764372292,4.178375760714213,0.0005
74,8.270222607113066,7.926226065272377,11.366193271818615,0.7068910811628614,0.23902155246053422,4.917716786974952,0.0005
75,9.002394562675839,8.684202950625192,11.86612071309771,0.658601177590234,0.2734325741018568,4.1251186189197355,0.0005
76,8.870715446415401,8.563580213558106,11.634934162809735,1.1181794220492953,0.9640432170459202,2.505405511174883,0.0005
77,8.766517837842306,8.44530620177587,11.657424929596129,0.8786869205179668,0.6273039685828345,3.141133575212388,0.0005
78,8.55175598320507,8.235199665739422,11.400764675367446,0.7080950580892109,0.19597336774071059,5.317190255437579,0.0005
79,8.77699298234213,8.452964826708747,11.693248273361297,0.7483105595622744,0.44844499017511097,3.447100724492754,0.0005
80,8.844851790439515,8.531089430763608,11.668714631171454,0.6680319096360888,0.27158928236791063,4.236015535536266,0.0005
81,8.571797334012532,8.215891128494626,11.774954284940447,0.9801464378833771,0.7813253856840587,2.7695360439164296,0.0005
82,8.871684791076751,8.545248792285012,11.809610837981815,0.6405541542030516,0.2153519196879296,4.467374199912662,0.0005
83,8.452584533464341,8.124136159817377,11.408621424720401,1.0792697710650307,0.842780474395979,3.20767366034644,0.0005
84,8.689083025569008,8.330255282776696,11.918534582569485,0.8205337084475017,0.5056012379271644,3.6549259083611623,0.0005
